1,2020-07-01 16:59:26.3933333,17,2020-07-01 16:59:26.3933333,17,17,Sto. Thomas,Sto.ThomasCode,CategoryStoThomas,Blk4Lt5,NULL,"Remarks123 "
2,2020-07-01 17:01:04.0733333,17,2020-07-07 14:41:53.4133333,19,17,TestLocation,TestCode,TestCategory,TestAddress,NULL,TestRemarks 23
3,2020-07-01 17:01:26.6300000,17,2020-07-06 17:57:37.5100000,17,17,Test123,,,,NULL,
4,2020-07-01 17:02:39.7066667,17,2020-07-07 11:08:35.0466667,17,17,Test123213,test123,,,NULL," "
5,2020-07-01 18:06:10.4833333,1,2020-07-01 18:06:32.7233333,1,1,SM Mall Of Asia,MOA,SM Outlet,Pasay City,NULL,"test remarks  "
6,2020-07-01 18:08:40.6700000,1,2020-07-01 18:08:40.6700000,1,1,SM Megamall,Mega,SM Outlet,Mandaluyong city,NULL," test mega"
7,2020-07-01 18:11:43.7133333,17,2020-07-07 11:09:41.0433333,17,17,Test,test21321Code,Category,,NULL," "
8,2020-07-03 15:08:29.3300000,36,2020-07-03 15:10:46.7933333,36,36,SM BAY CITY,MOA,SM OUTLET,SM Mall of Asia JW Diokno Blvd CBP-1A Pasay City 1300,NULL," CP#:09175525879 trnkline:(02)551-4301 loc.813 sco.mmsa.moa@smretail.com"
9,2020-07-07 14:51:24.7900000,1,2024-11-11 18:27:26.3100000,36,35,SM MEGAMALL,Mega,SM Outlet,Mandaluyong City,NULL," CP#:09171383205 sco.nwmbci.ort@smretail.com  sco.msm.ort@smretail.com"
10,2020-07-08 18:23:48.6266667,17,2020-11-04 21:20:56.4500000,17,3,test123,,,,2020-11-04," "
11,2020-07-08 18:23:52.8400000,17,2020-11-04 21:20:25.5400000,17,3,asdf123542,,,,2020-11-04,
12,2020-07-08 18:23:56.7033333,17,2020-11-04 21:20:29.5600000,17,3,sadfdsfds252,,,,2020-11-04,
13,2020-07-08 18:23:59.8266667,17,2022-02-05 13:17:29.0400000,17,3,testse123213,,,,NULL,
14,2020-07-10 11:51:07.4300000,17,2020-07-10 11:51:07.4300000,17,17,New Location,,,,NULL," "
15,2020-07-14 11:38:31.3800000,1,2024-03-21 08:56:40.0100000,1,1,QC Warehouse #2,,,,NULL," "
16,2020-07-17 21:53:32.0033333,17,2020-07-17 21:53:32.0033333,17,17,Test2,,,,NULL," "
17,2020-07-17 21:53:35.2966667,17,2020-07-17 21:53:35.2966667,17,17,Test3,,,,NULL,
18,2020-07-17 21:53:38.9833333,17,2020-07-17 21:53:38.9833333,17,17,Test4,,,,NULL,
19,2020-07-17 21:53:42.3500000,17,2020-07-17 21:53:42.3500000,17,17,Test5,,,,NULL,
20,2020-07-17 21:53:46.0366667,17,2020-07-17 21:53:46.0366667,17,17,Test6,,,,NULL,
21,2020-07-17 21:53:50.7266667,17,2020-07-17 21:53:50.7266667,17,17,Test7,,,,NULL,
22,2020-07-24 08:51:24.2600000,36,2024-10-15 09:34:42.4433333,36,35,SM MAKATI,MKTI,SM Outlet,SM MAKATI BLDG. AYALA CENTER BRGY SAN LORENZO VILL. MAKATI CITY,NULL," cp#09171241569 mariaclaribelle.p.manalo@smretail.com"
23,2020-07-24 08:54:40.1833333,36,2024-10-15 09:18:42.0866667,36,35,SM NORTH EDSA,NORTH,SM Outlet,SM City North Edsa Pag asa 1 Quezon City 1105,NULL,"email: cherrielynn.c.dino@smretail.com 09171209229 (ZONE LEADER) "
24,2020-07-24 08:56:35.5300000,36,2024-10-15 09:41:29.8600000,36,35,SM MALL OF ASIA,MOA,SM Outlet,SM Mall of Asia JW Diokno Blvd CBP-1A Pasay City 1300,NULL,CP#09171359405 sco.nwmbci.moa@smretail.com
25,2020-07-24 08:58:10.9166667,36,2024-10-15 09:40:02.3566667,36,35,SM SOUTHMALL,073,SM Outlet,SM Southmall Bldg Real St. Almanza Uno Las Pinas City 1750,NULL,CP#:09171366318 marlene.b.cadulong.smretail.com
26,2020-07-24 09:02:26.7366667,36,2023-11-04 14:23:11.5566667,45,35,SM CEBU MSC,CEBU,SM Outlet,"SM City-Cebu, A.S. Soriano Ave. North Reclamation Area, Cebu City 6000",NULL,CP#:09338757612 trnkline: (032)231-2422/(032)231-0058 loc.109 sco.msc.ceb@smretail.com
27,2020-07-24 09:04:57.0533333,36,2020-07-24 09:04:57.0533333,36,35,SM PAMPANGA,PAMP,SM Outlet,SM City Pampanga Lagundi Mexico Pampanga 2021,NULL,"tel - 5194306 CP#:09175525877 trnkline:9637976 loc.115 sco.msp.pam@smretail.com "
28,2020-07-24 09:08:07.2533333,36,2024-10-15 09:20:38.5800000,36,35,SM FAIRVIEW,FVW,SM Outlet,SM City Fairview Quirino Hi-way Pasong Putik Fairview Quezon City 1118,NULL,09171383828 sco.nwmbci.fvw@smretail.com
